name,date,pop,n_leq5,total_cases,zips,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,school_opening_status
Red Lake County Central Public Schools,2020-08-20,17440,2,115,"56535, 56646, 56684, 56701, 56715, 56742, 56748, 56750",107,8,16,4.587155963302752,9.174311926605505,13.669724770642201,1.4084190570513002,All In-Person
Red Lake Falls Public School District,2020-08-20,11560,2,69,"56715, 56716, 56736, 56750, 56754",65,4,12,3.460207612456747,10.380622837370243,16.254013119091695,0.06920415224913501,All In-Person
Red Lake Public School District,2020-08-20,11785,6,52,"56630, 56644, 56650, 56652, 56666, 56667, 56670, 56671, 56676, 56727",27,25,49,21.21340687314383,41.5782774713619,53.220195163343234,12.897751378871448,All Hybrid
Red Rock Central School District,2020-08-20,18887,6,236,"56019, 56083, 56087, 56101, 56118, 56137, 56145, 56152, 56159, 56166, 56174, 56180, 56183, 56224",206,30,54,15.883941335310002,28.591094403558003,36.21697447321707,10.19994592730383,Elem In-Person / HS Hybrid
Red Wing Public School District,2020-08-20,64820,0,410,"55009, 55027, 55033, 55041, 55066, 55089",303,107,107,16.50725084850355,16.50725084850355,19.63505054740291,13.379451149604186,Elem In-Person / HS Hybrid
Redwood Area School District,2020-08-20,18750,4,72,"55310, 55333, 56214, 56224, 56230, 56237, 56266, 56270, 56277, 56283, 56284, 56292, 56293",58,14,30,7.466666666666667,16,21.725526467787336,3.5553874783589734,All In-Person
Renville County West School District,2020-08-20,19430,3,97,"56216, 56230, 56241, 56260, 56277, 56281, 56282, 56283, 56284, 56285",75,22,34,11.32269686052496,17.498713329902213,23.38068230257169,6.59124298031193,Elem In-Person / HS Hybrid
Richfield Public School District,2020-08-20,113920,1,1805,"55410, 55417, 55420, 55423, 55435, 55450",1585,220,224,19.31179775280899,19.662921348314608,22.23793837011128,16.759875520592086,Elem In-Person / HS Hybrid
Robbinsdale Public School District,2020-08-20,227870,0,4940,"55411, 55422, 55427, 55428, 55429, 55430, 55441, 55442, 55446, 55447",4415,525,525,23.039452319304864,23.039452319304864,25.010279624810956,21.06862501379878,All Hybrid
Rochester Public School District,2020-08-20,151171,4,1891,"55901, 55902, 55904, 55905, 55906, 55920, 55932, 55934, 55956, 55957, 55960, 55963, 55976, 55991",1700,191,207,12.634698454068571,13.693102513048137,15.558505887840843,10.84283765247785,Elem In-Person / HS Hybrid
Rockford Public School District,2020-08-20,90440,0,710,"55311, 55313, 55328, 55340, 55357, 55359, 55373",620,90,90,9.951348960636887,9.951348960636887,12.007318956411993,7.895378964861779,All In-Person
Rocori Public School District,2020-08-20,61899,0,1407,"55353, 55389, 56301, 56310, 56320, 56362, 56368, 56369, 56374",1329,78,78,12.601172878398682,12.601172878398682,15.397704534484012,9.804641222313352,Elem In-Person / HS Hybrid
Roseau Public School District,2020-08-20,14608,4,53,"56714, 56724, 56726, 56751, 56756, 56759, 56761, 56763",40,13,29,8.899233296823658,19.85213581599124,27.07757600081026,4.061554969941526,All In-Person
Rosemount-Apple Valley-Eagan,2020-08-20,366280,0,4475,"55024, 55033, 55044, 55068, 55077, 55118, 55120, 55121, 55122, 55123, 55124, 55306, 55337",3712,763,763,20.8310582068363,20.8310582068363,22.309162691994594,19.35295372167801,All Hybrid
Roseville Public School District,2020-08-20,206630,0,3326,"55108, 55109, 55112, 55113, 55117, 55126, 55127",2941,385,385,18.632337995450804,18.632337995450804,20.493538066393224,16.771137924508388,Elem In-Person / HS Hybrid
