zip,pop,cases,date,total_cases,n_leq5,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,current_rate,school_opening_status
55038,22100,530,2020-10-29,530,0,410,120,120,54.29864253393665,54.29864253393665,64.0139023774672,44.583382690406104,54.29864253393665,All Distance
55040,12210,230,2020-10-29,230,0,182,48,48,39.31203931203931,39.31203931203931,50.43347938684685,28.190599237231776,39.31203931203931,Elem Hybrid / HS Distance
55041,7120,143,2020-10-29,143,0,73,70,70,98.31460674157303,98.31460674157303,121.34625915739872,75.28295432574737,98.31460674157303,All Distance
55042,9200,278,2020-10-29,278,0,222,56,56,60.869565217391305,60.869565217391305,76.81227930016722,44.92685113461538,60.869565217391305,All Distance
55043,3480,48,2020-10-29,48,0,39,9,9,25.862068965517242,25.862068965517242,42.75862068965517,8.96551724137931,25.862068965517242,All Hybrid
55044,52230,1330,2020-10-29,1330,0,1096,234,234,44.801838024124066,44.801838024124066,50.542262060104456,39.06141398814368,44.801838024124066,Elem Hybrid / HS Distance
55045,7090,162,2020-10-29,162,0,95,67,67,94.49929478138223,94.49929478138223,117.12735039897039,71.87123916379407,94.49929478138223,All Distance
55046,5370,83,2020-10-29,83,0,59,24,24,44.6927374301676,44.6927374301676,62.5735564091435,26.8119184511917,44.6927374301676,Elem Hybrid / HS Distance
55047,2420,34,2020-10-29,34,0,27,7,7,28.92561983471074,28.92561983471074,50.35401888300247,7.497220786419017,28.92561983471074,All Hybrid
55049,2640,38,2020-10-29,38,0,32,6,6,22.727272727272727,22.727272727272727,40.91287839339026,4.541667061155196,22.727272727272727,All Hybrid
55051,8180,161,2020-10-29,161,0,114,47,47,57.457212713936435,57.457212713936435,73.88396456819811,41.03046085967476,57.457212713936435,All Distance
55052,1870,24,2020-10-29,24,0,22,2,2,10.695187165775401,10.695187165775401,25.51796033289447,0,10.695187165775401,Elem In-Person / HS Hybrid
55053,910,7,2020-10-29,7,0,2,5,5,54.94505494505495,54.94505494505495,103.10651907581965,6.783590814290246,54.94505494505495,All Distance
55054,2300,52,2020-10-29,52,0,43,9,9,39.130434782608695,39.130434782608695,64.69565217391303,13.565217391304348,39.130434782608695,Elem Hybrid / HS Distance
55055,3310,112,2020-10-29,112,0,97,15,15,45.31722054380665,45.31722054380665,68.25089836424937,22.383542723363938,45.31722054380665,Elem Hybrid / HS Distance
55056,13150,266,2020-10-29,266,0,179,87,87,66.15969581749049,66.15969581749049,80.06210109813998,52.257290536841005,66.15969581749049,All Distance
55057,20020,358,2020-10-29,358,0,292,66,66,32.967032967032964,32.967032967032964,40.920636999543696,25.01342893452224,32.967032967032964,Elem Hybrid / HS Distance
55060,27950,683,2020-10-29,683,0,574,109,109,38.998211091234346,38.998211091234346,46.319499376552656,31.676922805916035,38.998211091234346,Elem Hybrid / HS Distance
55063,7860,117,2020-10-29,117,0,83,34,34,43.25699745547073,43.25699745547073,57.797284623278365,28.716710287663116,43.25699745547073,Elem Hybrid / HS Distance
55065,1130,22,2020-10-29,22,0,14,8,8,70.79646017699115,70.79646017699115,119.85590411064187,21.73701624334042,70.79646017699115,All Distance
55066,17400,232,2020-10-29,232,0,158,74,74,42.52873563218391,42.52873563218391,52.21871122034686,32.83876004402095,42.52873563218391,Elem Hybrid / HS Distance
55068,28980,610,2020-10-29,610,0,509,101,101,34.85162180814355,34.85162180814355,41.64863913643787,28.05460447984923,34.85162180814355,Elem Hybrid / HS Distance
55069,4210,83,2020-10-29,83,0,47,36,36,85.5106888361045,85.5106888361045,113.44418052256532,57.57719714964371,85.5106888361045,All Distance
