ZIPCODE,CASES,DATE
56052,6,8/6/2020
56054,0,8/6/2020
56055,32,8/6/2020
56056,0,8/6/2020
56057,35,8/6/2020
56058,28,8/6/2020
56060,0,8/6/2020
56062,85,8/6/2020
56063,24,8/6/2020
56065,9,8/6/2020
56068,6,8/6/2020
56069,38,8/6/2020
56071,167,8/6/2020
56072,14,8/6/2020
56073,54,8/6/2020
56074,8,8/6/2020
56075,<=5,8/6/2020
56078,<=5,8/6/2020
56080,14,8/6/2020
56081,176,8/6/2020
56082,94,8/6/2020
56083,<=5,8/6/2020
56085,22,8/6/2020
56087,13,8/6/2020
56088,19,8/6/2020
56089,0,8/6/2020
56090,6,8/6/2020
56091,0,8/6/2020
56093,89,8/6/2020
56096,28,8/6/2020
56097,12,8/6/2020
56098,11,8/6/2020
56101,124,8/6/2020
56110,42,8/6/2020
56111,0,8/6/2020
56113,<=5,8/6/2020
56114,<=5,8/6/2020
56115,<=5,8/6/2020
56116,<=5,8/6/2020
56117,11,8/6/2020
56118,<=5,8/6/2020
56119,27,8/6/2020
56120,36,8/6/2020
56121,10,8/6/2020
56122,34,8/6/2020
56123,<=5,8/6/2020
56125,0,8/6/2020
56127,<=5,8/6/2020
56128,23,8/6/2020
56129,13,8/6/2020
56131,40,8/6/2020
56132,0,8/6/2020
56134,<=5,8/6/2020
56136,<=5,8/6/2020
56137,13,8/6/2020
56138,<=5,8/6/2020
56139,10,8/6/2020
56140,0,8/6/2020
56141,7,8/6/2020
56142,<=5,8/6/2020
56143,28,8/6/2020
56144,11,8/6/2020
56145,<=5,8/6/2020
56146,0,8/6/2020
56147,<=5,8/6/2020
56149,9,8/6/2020
56150,15,8/6/2020
56151,11,8/6/2020
56152,<=5,8/6/2020
56153,<=5,8/6/2020
56155,15,8/6/2020
56156,50,8/6/2020
56157,6,8/6/2020
56158,6,8/6/2020
56159,40,8/6/2020
56160,<=5,8/6/2020
56161,11,8/6/2020
56162,<=5,8/6/2020
56164,103,8/6/2020
56165,14,8/6/2020
56166,0,8/6/2020
56167,11,8/6/2020
56168,16,8/6/2020
56169,7,8/6/2020
56170,<=5,8/6/2020
56171,10,8/6/2020
56172,28,8/6/2020
56173,0,8/6/2020
56174,<=5,8/6/2020
56175,21,8/6/2020
56176,7,8/6/2020
56177,0,8/6/2020
56178,35,8/6/2020
56180,<=5,8/6/2020
56181,<=5,8/6/2020
56183,<=5,8/6/2020
56185,8,8/6/2020
56186,<=5,8/6/2020
56187,1585,8/6/2020
56201,591,8/6/2020
56207,0,8/6/2020
56208,11,8/6/2020
56209,10,8/6/2020
56210,0,8/6/2020
56211,<=5,8/6/2020
56212,0,8/6/2020
56214,0,8/6/2020
56215,29,8/6/2020
56216,6,8/6/2020
56218,<=5,8/6/2020
56219,0,8/6/2020
56220,<=5,8/6/2020
56221,0,8/6/2020
56222,11,8/6/2020
56223,17,8/6/2020
56224,0,8/6/2020
56225,8,8/6/2020
56226,0,8/6/2020
56227,0,8/6/2020
56228,<=5,8/6/2020
56229,14,8/6/2020
56230,<=5,8/6/2020
56231,0,8/6/2020
56232,<=5,8/6/2020
56235,<=5,8/6/2020
56236,<=5,8/6/2020
56237,0,8/6/2020
56239,8,8/6/2020
56240,8,8/6/2020
56241,16,8/6/2020
56243,7,8/6/2020
56244,<=5,8/6/2020
56245,6,8/6/2020
56248,18,8/6/2020
56249,0,8/6/2020
56251,12,8/6/2020
56252,9,8/6/2020
56253,<=5,8/6/2020
56255,<=5,8/6/2020
56256,<=5,8/6/2020
56257,<=5,8/6/2020
56258,335,8/6/2020
56260,<=5,8/6/2020
56262,21,8/6/2020
56263,<=5,8/6/2020
56264,24,8/6/2020
56265,66,8/6/2020
56266,<=5,8/6/2020
56267,12,8/6/2020
56270,<=5,8/6/2020
56271,6,8/6/2020
56273,20,8/6/2020
56274,7,8/6/2020
56276,0,8/6/2020
56277,16,8/6/2020
56278,<=5,8/6/2020
56279,14,8/6/2020
56280,<=5,8/6/2020
56281,<=5,8/6/2020
56282,7,8/6/2020
56283,9,8/6/2020
56284,13,8/6/2020
56285,<=5,8/6/2020
56287,0,8/6/2020
56288,13,8/6/2020
56289,<=5,8/6/2020
56291,0,8/6/2020
56292,0,8/6/2020
56293,<=5,8/6/2020
56294,0,8/6/2020
56295,0,8/6/2020
56296,6,8/6/2020
56297,8,8/6/2020
56301,988,8/6/2020
56303,529,8/6/2020
56304,469,8/6/2020
56307,41,8/6/2020
56308,101,8/6/2020
56309,<=5,8/6/2020
56310,26,8/6/2020
56311,<=5,8/6/2020
56312,<=5,8/6/2020
56313,0,8/6/2020
56314,<=5,8/6/2020
56315,6,8/6/2020
56316,9,8/6/2020
56318,<=5,8/6/2020
56319,0,8/6/2020
56320,101,8/6/2020
56321,<=5,8/6/2020
56323,<=5,8/6/2020
56324,<=5,8/6/2020
56325,0,8/6/2020
56326,<=5,8/6/2020
56327,<=5,8/6/2020
56328,0,8/6/2020
56329,43,8/6/2020
56330,<=5,8/6/2020
56331,6,8/6/2020
56332,<=5,8/6/2020
56334,31,8/6/2020
56335,0,8/6/2020
56336,18,8/6/2020
56338,<=5,8/6/2020
56339,7,8/6/2020
56340,10,8/6/2020
56342,<=5,8/6/2020
56343,<=5,8/6/2020
56345,26,8/6/2020
56347,313,8/6/2020
56349,0,8/6/2020
56350,0,8/6/2020
56352,165,8/6/2020
56353,26,8/6/2020
56354,<=5,8/6/2020
56355,0,8/6/2020
56356,<=5,8/6/2020
56357,<=5,8/6/2020
56358,<=5,8/6/2020
56359,8,8/6/2020
56360,16,8/6/2020
56361,<=5,8/6/2020
56362,17,8/6/2020
56363,0,8/6/2020
56364,14,8/6/2020
56367,25,8/6/2020
56368,37,8/6/2020
56369,37,8/6/2020
56371,<=5,8/6/2020
56373,18,8/6/2020
56374,107,8/6/2020
56375,10,8/6/2020
56376,<=5,8/6/2020
56377,184,8/6/2020
56378,70,8/6/2020
56379,136,8/6/2020
56381,<=5,8/6/2020
56382,<=5,8/6/2020
56384,7,8/6/2020
56385,7,8/6/2020
56386,0,8/6/2020
56387,387,8/6/2020
56389,0,8/6/2020
56401,115,8/6/2020
56425,25,8/6/2020
56431,16,8/6/2020
56433,<=5,8/6/2020
56434,<=5,8/6/2020
56435,<=5,8/6/2020
56436,<=5,8/6/2020
56437,<=5,8/6/2020
56438,40,8/6/2020
56440,16,8/6/2020
56441,<=5,8/6/2020
56442,12,8/6/2020
56443,<=5,8/6/2020
56444,<=5,8/6/2020
56446,10,8/6/2020
56447,<=5,8/6/2020
56448,<=5,8/6/2020
56449,<=5,8/6/2020
56450,<=5,8/6/2020
56452,<=5,8/6/2020
56453,0,8/6/2020
56455,<=5,8/6/2020
56456,0,8/6/2020
56458,<=5,8/6/2020
56461,<=5,8/6/2020
56464,6,8/6/2020
56465,12,8/6/2020
56466,<=5,8/6/2020
56467,<=5,8/6/2020
56468,24,8/6/2020
56469,<=5,8/6/2020
56470,13,8/6/2020
56472,22,8/6/2020
56473,6,8/6/2020
56474,10,8/6/2020
56475,6,8/6/2020
56477,<=5,8/6/2020
56479,10,8/6/2020
56481,9,8/6/2020
56482,10,8/6/2020
56484,13,8/6/2020
56501,87,8/6/2020
56510,13,8/6/2020
56511,8,8/6/2020
56514,18,8/6/2020
56515,6,8/6/2020
56516,<=5,8/6/2020
56517,<=5,8/6/2020
56518,0,8/6/2020
56519,<=5,8/6/2020
56520,24,8/6/2020
56521,6,8/6/2020
56522,<=5,8/6/2020
56523,0,8/6/2020
56524,<=5,8/6/2020
56525,<=5,8/6/2020
56527,0,8/6/2020
56528,0,8/6/2020
56529,56,8/6/2020
56531,13,8/6/2020
56533,0,8/6/2020
56534,0,8/6/2020
56535,9,8/6/2020
56536,0,8/6/2020
56537,48,8/6/2020
56540,10,8/6/2020
56541,<=5,8/6/2020
56542,<=5,8/6/2020
56543,<=5,8/6/2020
56544,12,8/6/2020
56545,0,8/6/2020
56546,<=5,8/6/2020
56547,13,8/6/2020
56548,11,8/6/2020
56549,31,8/6/2020
56550,0,8/6/2020
56551,<=5,8/6/2020
56552,0,8/6/2020
56553,<=5,8/6/2020
56554,16,8/6/2020
56556,<=5,8/6/2020
56557,14,8/6/2020
56560,634,8/6/2020
56565,<=5,8/6/2020
56566,<=5,8/6/2020
56567,<=5,8/6/2020
56568,0,8/6/2020
56569,18,8/6/2020
56570,0,8/6/2020
56571,<=5,8/6/2020
56572,84,8/6/2020
56573,14,8/6/2020
56574,<=5,8/6/2020
56575,0,8/6/2020
56576,<=5,8/6/2020
56577,0,8/6/2020
56578,<=5,8/6/2020
56579,<=5,8/6/2020
56580,6,8/6/2020
56581,<=5,8/6/2020
56583,0,8/6/2020
56584,6,8/6/2020
56585,<=5,8/6/2020
56586,<=5,8/6/2020
56587,<=5,8/6/2020
56588,<=5,8/6/2020
56589,<=5,8/6/2020
56590,<=5,8/6/2020
56591,<=5,8/6/2020
56592,<=5,8/6/2020
56593,0,8/6/2020
56594,0,8/6/2020
56601,182,8/6/2020
56621,6,8/6/2020
56623,<=5,8/6/2020
56626,<=5,8/6/2020
56627,0,8/6/2020
56628,<=5,8/6/2020
56629,0,8/6/2020
56630,<=5,8/6/2020
56633,21,8/6/2020
56634,<=5,8/6/2020
56636,9,8/6/2020
56637,0,8/6/2020
56639,0,8/6/2020
56641,0,8/6/2020
56644,<=5,8/6/2020
56646,0,8/6/2020
56647,<=5,8/6/2020
56649,67,8/6/2020
56650,0,8/6/2020
56651,<=5,8/6/2020
56652,0,8/6/2020
56653,6,8/6/2020
56654,0,8/6/2020
56655,8,8/6/2020
56657,0,8/6/2020
56658,0,8/6/2020
56659,0,8/6/2020
56660,0,8/6/2020
56661,0,8/6/2020
56662,<=5,8/6/2020
56663,<=5,8/6/2020
56666,8,8/6/2020
56667,<=5,8/6/2020
56668,<=5,8/6/2020
56669,0,8/6/2020
56670,7,8/6/2020
56671,<=5,8/6/2020
56672,<=5,8/6/2020
56673,<=5,8/6/2020
56676,<=5,8/6/2020
56678,8,8/6/2020
56680,0,8/6/2020
56681,0,8/6/2020
56683,0,8/6/2020
56684,0,8/6/2020
56685,0,8/6/2020
56686,0,8/6/2020
56687,0,8/6/2020
56688,0,8/6/2020
56701,72,8/6/2020
56710,<=5,8/6/2020
56711,0,8/6/2020
56713,0,8/6/2020
56714,<=5,8/6/2020
56715,0,8/6/2020
56716,39,8/6/2020
56720,0,8/6/2020
56721,71,8/6/2020
56722,<=5,8/6/2020
56723,<=5,8/6/2020
56724,0,8/6/2020
56725,<=5,8/6/2020
56726,<=5,8/6/2020
56727,<=5,8/6/2020
56728,<=5,8/6/2020
56729,0,8/6/2020
56731,0,8/6/2020
56732,0,8/6/2020
56733,<=5,8/6/2020
56734,0,8/6/2020
56735,<=5,8/6/2020
56736,<=5,8/6/2020
56737,0,8/6/2020
56738,<=5,8/6/2020
56741,0,8/6/2020
56742,<=5,8/6/2020
56744,<=5,8/6/2020
56748,<=5,8/6/2020
56750,22,8/6/2020
56751,24,8/6/2020
56754,<=5,8/6/2020
56755,0,8/6/2020
56756,0,8/6/2020
56757,<=5,8/6/2020
56758,0,8/6/2020
56759,<=5,8/6/2020
56760,0,8/6/2020
56761,<=5,8/6/2020
56762,12,8/6/2020
56763,8,8/6/2020
54001,0,8/13/2020
54002,0,8/13/2020
54003,<=5,8/13/2020
54004,0,8/13/2020
54005,0,8/13/2020
54006,0,8/13/2020
54007,0,8/13/2020
54009,0,8/13/2020
54010,0,8/13/2020
54011,0,8/13/2020
54013,0,8/13/2020
54014,0,8/13/2020
54015,<=5,8/13/2020
54016,0,8/13/2020
54017,0,8/13/2020
54020,0,8/13/2020
54021,0,8/13/2020
54022,0,8/13/2020
54023,0,8/13/2020
54024,0,8/13/2020
54025,0,8/13/2020
54026,0,8/13/2020
54027,0,8/13/2020
54028,0,8/13/2020
54082,0,8/13/2020
